date,pi,y,r
2008Q1,4.30945639980251,0.602461113321162,3.17666666666667
2008Q2,5.17019125563962,0.706500300974611,2.08666666666667
2008Q3,6.12045740968483,-0.293004843430822,1.94
2008Q4,-9.2672901428724,-2.95480176742497,0.506666666666667
2009Q1,-2.76098537385394,-4.51054293275241,0.183333333333333
2009Q2,2.12139307898127,-5.07712397485918,0.18
2009Q3,3.42685218996515,-5.09098363510692,0.156666666666667
2009Q4,3.11953733661383,-4.36778031814917,0.12
2010Q1,0.633511794378094,-4.23628023540328,0.133333333333333
2010Q2,-0.141102781034519,-3.630389086773,0.193333333333333
2010Q3,1.17087152176509,-3.23211641807077,0.186666666666667
2010Q4,3.22585341927315,-3.08657712272655,0.186666666666667
2011Q1,4.24625260314748,-3.71180996223632,0.156666666666667
2011Q2,4.52239269812011,-3.43511791407227,0.0933333333333333
2011Q3,2.59979625113154,-3.86563409099647,0.0833333333333333
2011Q4,1.79159241274505,-3.16439685748211,0.0733333333333333
2012Q1,2.24636786333221,-2.7517830635384,0.103333333333333
2012Q2,0.843516655722354,-2.73872145244525,0.153333333333333
2012Q3,1.80181663399637,-3.03390575795373,0.143333333333333
2012Q4,2.65100552537056,-3.36294576042082,0.16
2013Q1,1.60459623691196,-2.83435792373279,0.143333333333333
2013Q2,-0.43818061814811,-3.02474777620265,0.116666666666667
2013Q3,2.15754426108461,-2.63647711279482,0.0833333333333333
2013Q4,1.47634060639064,-2.23267660497193,0.0866666666666667
2014Q1,2.48342055499897,-3.04695511022022,0.0733333333333333
2014Q2,2.11869445870967,-2.23577735300147,0.0933333333333333
2014Q3,1.0220292661419,-1.50888379092695,0.09
2014Q4,-0.995011404792479,-1.4899002250619,0.1
2015Q1,-2.59754006208084,-1.08244624972151,0.11
2015Q2,2.71853517747402,-0.957866739915403,0.123333333333333
2015Q3,1.50795751606054,-1.05196402796732,0.136666666666667
2015Q4,-0.0302716884178267,-1.3603869251213,0.16
2016Q1,-0.248426488397513,-1.27349047497489,0.36
2016Q2,3.18640861613346,-1.44282374660474,0.373333333333333
2016Q3,1.69430481012789,-1.22244397592244,0.396666666666667
2016Q4,2.53110511139489,-1.15217419974556,0.45
2017Q1,2.80510368203899,-1.1472493169622,0.7
2017Q2,0.46124130378189,-1.07146993871634,0.95
2017Q3,1.90761834110837,-0.778899784849152,1.15333333333333
2017Q4,3.16953206040189,-0.160393607069942,1.20333333333333
2018Q1,3.35644523507739,0.137460849176563,1.44666666666667
2018Q2,2.17173577249632,0.143049858455235,1.73666666666667
2018Q3,1.60414680962369,0.237132165493747,1.92333333333333
2018Q4,1.62517604040495,-0.148743877233493,2.22
2019Q1,1.06646356042681,-0.0557413144571584,2.40333333333333
2019Q2,2.92812299645782,0.248631261929688,2.39666666666667
2019Q3,1.31733288992386,0.888271345559666,2.19
2019Q4,2.79961608040118,1.06095289092867,1.64333333333333
2020Q1,1.43937677453394,-0.760360798724768,1.26
2020Q2,-3.92256184693203,-9.45775469219186,0.06
2020Q3,4.54645282339996,-2.46409644718035,0.0933333333333333
2020Q4,2.87520296975536,-1.8225309597268,0.09
2021Q1,4.04042299732517,-0.923377202163422,0.08
2021Q2,7.22629645887132,0.271020546792045,0.07
2021Q3,6.32372450008241,0.5790152917168,0.09
2021Q4,8.61767325948897,1.75555759809836,0.08
2022Q1,8.70651173701411,0.965241624958324,0.12
2022Q2,9.29726341445196,0.577429298238563,0.77
2022Q3,5.24339275216903,0.744392142354577,2.19
2022Q4,4.1598952687302,0.871986505958233,3.65333333333333
2023Q1,3.58627568746925,1.03640615777696,4.51666666666667
2023Q2,2.86767085376525,1.10162199913209,4.99
2023Q3,3.40191093056603,1.68322816919204,5.26
2023Q4,2.8734183715688,1.95348702872771,5.33
2024Q1,3.62837228506301,1.5894964389803,5.33
2024Q2,2.662899232066,1.89287090139789,5.33
2024Q3,1.32695347311511,2.14063781849703,5.26333333333333
2024Q4,3.128771648068,2.02663551149573,4.65
2025Q1,3.63153295049479,1.30363324782365,4.33
2025Q2,1.6376686130652,1.67524911608652,4.33
2025Q3,3.04256713422184,2.17377702524963,4.29333333333333
